City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
16,Bandarbeyla,SO,89.08,overcast clouds,9.4942,50.8122,JABIR HOTEL
22,Umm Kaddadah,SD,83.17,overcast clouds,13.6017,26.6876,
28,Lodwar,KE,85.21,few clouds,3.1191,35.5973,Solmar Gracious Hotel
40,Matara,LK,81.52,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
48,Kudahuvadhoo,MV,83.16,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
57,Yarada,IN,86.32,moderate rain,17.65,83.2667,Yarada Jungle Beach Resorts
60,Muli,MV,82.94,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
65,Kavaratti,IN,82.72,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
71,Marsa Matruh,EG,82.42,clear sky,31.3525,27.2453,Beau Site
74,Bibbiena,IT,83.95,clear sky,43.6965,11.8135,Hotel Borgo Antico
78,Hun,LY,84.24,clear sky,29.1268,15.9477,Alrwasi Hotel
80,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
88,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
90,Dingle,PH,84.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
92,Wajid,SO,84.09,scattered clouds,3.8093,43.2471,xamdihotelresturant114
96,Nara,JP,83.57,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
100,Ourossogui,SN,84.83,broken clouds,15.6064,-13.3211,Hotel welma
104,Hithadhoo,MV,82.6,broken clouds,-0.6,73.0833,Scoop Guest House
107,Ndioum,SN,80.49,broken clouds,16.5129,-14.6471,l'hôtel samassa
111,Victoria,HK,84.33,light rain,22.2855,114.1577,Mini Central
112,Bayshore Gardens,US,80.98,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
114,Kulhudhuffushi,MV,82.17,overcast clouds,6.6221,73.07,Haajy Guest House 1
138,Sidi Ali,DZ,84.13,broken clouds,36.0998,0.4206,Complexe touristique haje bezine
151,Corn Island,NI,81.09,overcast clouds,12.1694,-83.0418,Big Fish Guest House
153,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
155,Belyy Yar,RU,83.86,clear sky,53.6039,91.3903,Pasportnyy Stol
157,Malkara,TR,82.26,clear sky,40.89,26.9011,Ütğm Korel Lojmanı
159,Jalu,LY,87.01,clear sky,29.0331,21.5482,صاحبة الفخامة
162,Beruwala,LK,81.82,overcast clouds,6.4788,79.9828,The Palms Hotel
166,Cheveresu Mare,RO,87.84,clear sky,45.6669,21.4908,autark camping/stellplatz
173,Biltine,TD,89.44,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
174,Marsh Harbour,BS,81.5,clear sky,26.5412,-77.0636,Abaco Beach Resort
180,Zhovti Vody,UA,84.45,clear sky,48.3473,33.5003,Yubileyna
182,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
183,Port Blair,IN,80.64,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
185,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
